"filename", "language", "Vue", "JSON with Comments", "CSS", "JavaScript", "SCSS", "Less", "Markdown", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\vueDemo\vue-cyanmusic\.eslintrc.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\vueDemo\vue-cyanmusic\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\vueDemo\vue-cyanmusic\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\vueDemo\vue-cyanmusic\babel.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\vueDemo\vue-cyanmusic\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 20
"d:\vueDemo\vue-cyanmusic\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20353, 0, 0, 1, 20354
"d:\vueDemo\vue-cyanmusic\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"d:\vueDemo\vue-cyanmusic\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 1, 19
"d:\vueDemo\vue-cyanmusic\src\Api\api_login.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 10, 22
"d:\vueDemo\vue-cyanmusic\src\Api\api_playList.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 7, 13, 28
"d:\vueDemo\vue-cyanmusic\src\Api\api_song.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 3, 12
"d:\vueDemo\vue-cyanmusic\src\Api\api_user.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 3, 12
"d:\vueDemo\vue-cyanmusic\src\App.vue", "Vue", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\vueDemo\vue-cyanmusic\src\assets\css\global.css", "CSS", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 30, 137
"d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\css\font-awesome.css", "CSS", 0, 0, 2327, 0, 0, 0, 0, 0, 0, 0, 10, 1, 2338
"d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\css\font-awesome.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2671, 0, 1, 2672
"d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\animated.less", "Less", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 5, 35
"d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\bordered-pulled.less", "Less", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 6, 26
