Date : 2023-02-26 19:15:52
Directory : d:\vueDemo\vue-cyanmusic
Total : 78 files,  32163 codes, 275 comments, 416 blanks, all 32854 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     20,395 |          0 |          3 |     20,398 |
| Vue                |         26 |      2,800 |         61 |        203 |      3,064 |
| XML                |          1 |      2,671 |          0 |          1 |      2,672 |
| CSS                |          3 |      2,434 |         14 |         32 |      2,480 |
| SCSS               |         14 |      1,758 |         44 |         48 |      1,850 |
| Less               |         14 |      1,758 |         44 |         48 |      1,850 |
| JavaScript         |         14 |        304 |         98 |         74 |        476 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| HTML               |          1 |         16 |          2 |          1 |         19 |
| JSON with Comments |          1 |          8 |         12 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         78 |     32,163 |        275 |        416 |     32,854 |
| . (Files)                                                                            |          8 |     20,464 |         28 |         13 |     20,505 |
| public                                                                               |          1 |         16 |          2 |          1 |         19 |
| src                                                                                  |         69 |     11,683 |        245 |        402 |     12,330 |
| src (Files)                                                                          |          2 |         46 |         11 |         14 |         71 |
| src\Api                                                                              |          4 |         25 |         20 |         29 |         74 |
| src\assets                                                                           |         32 |      8,621 |        102 |        129 |      8,852 |
| src\assets\css                                                                       |          1 |        106 |          1 |         30 |        137 |
| src\assets\font-awesome-4.7.0                                                        |         31 |      8,515 |        101 |         99 |      8,715 |
| src\assets\font-awesome-4.7.0\css                                                    |          2 |      2,328 |         13 |          2 |      2,343 |
| src\assets\font-awesome-4.7.0\fonts                                                  |          1 |      2,671 |          0 |          1 |      2,672 |
| src\assets\font-awesome-4.7.0\less                                                   |         14 |      1,758 |         44 |         48 |      1,850 |
| src\assets\font-awesome-4.7.0\scss                                                   |         14 |      1,758 |         44 |         48 |      1,850 |
| src\components                                                                       |         10 |      1,452 |         19 |         90 |      1,561 |
| src\components\card                                                                  |          1 |         82 |          2 |          6 |         90 |
| src\components\comment                                                               |          1 |        212 |          2 |          5 |        219 |
| src\components\customeVue                                                            |          2 |         61 |          3 |         15 |         79 |
| src\components\customeVue\lyricPage                                                  |          2 |         61 |          3 |         15 |         79 |
| src\components\hidden                                                                |          1 |          8 |          0 |          1 |          9 |
| src\components\login                                                                 |          1 |        124 |          0 |         14 |        138 |
| src\components\menus                                                                 |          1 |         79 |          2 |          6 |         87 |
| src\components\playFooter                                                            |          2 |        852 |         10 |         38 |        900 |
| src\components\star                                                                  |          1 |         34 |          0 |          5 |         39 |
| src\hooks                                                                            |          2 |         37 |          5 |          5 |         47 |
| src\request                                                                          |          1 |         10 |         12 |          4 |         26 |
| src\router                                                                           |          1 |         85 |          3 |         12 |        100 |
| src\store                                                                            |          1 |         81 |         28 |          3 |        112 |
| src\views                                                                            |         16 |      1,326 |         45 |        116 |      1,487 |
| src\views (Files)                                                                    |          1 |         88 |          6 |         11 |        105 |
| src\views\dailyRmd                                                                   |          2 |         30 |          3 |          6 |         39 |
| src\views\headerBar                                                                  |          1 |         87 |         14 |          3 |        104 |
| src\views\home                                                                       |          7 |        762 |          9 |         56 |        827 |
| src\views\home (Files)                                                               |          2 |        417 |          8 |         35 |        460 |
| src\views\home\homePage                                                              |          5 |        345 |          1 |         21 |        367 |
| src\views\leftBar                                                                    |          1 |         57 |          2 |          4 |         63 |
| src\views\login                                                                      |          2 |        170 |          8 |         22 |        200 |
| src\views\recentPlay                                                                 |          1 |        124 |          3 |         13 |        140 |
| src\views\songList                                                                   |          1 |          8 |          0 |          1 |          9 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\vueDemo\vue-cyanmusic\.eslintrc.js                                                | JavaScript         |         17 |          0 |          1 |         18 |
| d:\vueDemo\vue-cyanmusic\.prettierrc                                                 | JSON               |          6 |          0 |          1 |          7 |
| d:\vueDemo\vue-cyanmusic\README.md                                                   | Markdown           |         19 |          0 |          6 |         25 |
| d:\vueDemo\vue-cyanmusic\babel.config.js                                             | JavaScript         |          5 |          0 |          1 |          6 |
| d:\vueDemo\vue-cyanmusic\jsconfig.json                                               | JSON with Comments |          8 |         12 |          0 |         20 |
| d:\vueDemo\vue-cyanmusic\package-lock.json                                           | JSON               |     20,353 |          0 |          1 |     20,354 |
| d:\vueDemo\vue-cyanmusic\package.json                                                | JSON               |         36 |          0 |          1 |         37 |
| d:\vueDemo\vue-cyanmusic\public\index.html                                           | HTML               |         16 |          2 |          1 |         19 |
| d:\vueDemo\vue-cyanmusic\src\Api\api_login.js                                        | JavaScript         |          7 |          5 |         10 |         22 |
| d:\vueDemo\vue-cyanmusic\src\Api\api_playList.js                                     | JavaScript         |          8 |          7 |         13 |         28 |
| d:\vueDemo\vue-cyanmusic\src\Api\api_song.js                                         | JavaScript         |          5 |          4 |          3 |         12 |
| d:\vueDemo\vue-cyanmusic\src\Api\api_user.js                                         | JavaScript         |          5 |          4 |          3 |         12 |
| d:\vueDemo\vue-cyanmusic\src\App.vue                                                 | Vue                |         30 |          0 |          6 |         36 |
| d:\vueDemo\vue-cyanmusic\src\assets\css\global.css                                   | CSS                |        106 |          1 |         30 |        137 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\css\font-awesome.css          | CSS                |      2,327 |         10 |          1 |      2,338 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\css\font-awesome.min.css      | CSS                |          1 |          3 |          1 |          5 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\fonts\fontawesome-webfont.svg | XML                |      2,671 |          0 |          1 |      2,672 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\animated.less            | Less               |         28 |          2 |          5 |         35 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\bordered-pulled.less     | Less               |         17 |          3 |          6 |         26 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\core.less                | Less               |          8 |          2 |          3 |         13 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\fixed-width.less         | Less               |          4 |          2 |          1 |          7 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\font-awesome.less        | Less               |         13 |          4 |          2 |         19 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\icons.less               | Less               |        786 |          2 |          2 |        790 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\larger.less              | Less               |          9 |          3 |          2 |         14 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\list.less                | Less               |         16 |          2 |          2 |         20 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\mixins.less              | Less               |         41 |         10 |         10 |         61 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\path.less                | Less               |         11 |          3 |          2 |         16 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\rotated-flipped.less     | Less               |         12 |          4 |          5 |         21 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\screen-reader.less       | Less               |          2 |          2 |          2 |          6 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\stacked.less             | Less               |         17 |          2 |          2 |         21 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\less\variables.less           | Less               |        794 |          3 |          4 |        801 |
| d:\vueDemo\vue-cyanmusic\src\assets\font-awesome-4.7.0\scss\_animated.scss           | SCSS               |         28 |          2 |          5 |         35 |
